State,Company,City,Number of Workers,WARN Received Date,Effective Date,Closure/Layoff,Temporary/Permanent,Union,Region,County,Industry,Notes
Kentucky,AMAZON IVSB - 3521 Point Pleasant,,150,04/01/2022,11/01/2022,Closure,,,Northern Kentucky,Boone,454110,
California,Amazon Logistics - DLA3,Los Angeles,161,08/06/2021,09/28/2021,Closure Permanent,,,,Los Angeles County,,
California,Amazon Logistics,Los Angeles,161,08/06/2021,09/28/2021,Closure Permanent,,,,Los Angeles County,,
California,White Glove Logistics LLC - DFA5 (Amazon Station),South San Francisco,39,06/03/2021,06/24/2021,Closure Permanent,,,,San Mateo County,,
California,Amazon.com Services Inc. - DLA4 facility,Chatsworth,156,04/29/2021,06/26/2021,Closure Permanent,,,,Los Angeles County,,
Colorado,Orion Logistics LLC - Amazon Delivery Service Partner,,89,02/22/2021,12/27/2020,Other,,,Arapahoe/Douglas,,,Delivery Drivers
Massachusetts,Whole Foods Market's North Atlantic Region (Bread and Circus Bakhouse Facility),Medford,,06/09/2020,04/01/2021,,,,,,,
Alabama,WHOLE FOODS,Hoover,68,01/10/2020,03/08/2020,Closing,,,,,,
North Carolina,Whole Foods Market Southern Region - BakeHouse,,102,01/08/2020,03/08/2020,Closure Permanent,,,,Wake County,,
Massachusetts,"Urban Mobility Now, LLC (Amazon Fulfillment Station)",Milford,,09/12/2019,08/28/2020,,,,,,,
Washington,Whole Foods Market,Vancouver,121,06/21/2019,08/18/2019,Closure,Permanent,,,,,
New York,Instacart (at Whole Foods Market) Bedford Avenue,Brooklyn,43,03/13/2019,05/11/2019,Plant Closing,,,New York City,Kings,Food Services/Delivery,Economic
New York,Instacart (at Whole Foods Market) Greenwich Street,New York,26,03/13/2019,05/11/2019,Plant Closing,,,New York City,"New York,",Food Services/Delivery,Economic
New York,Instacart (at Whole Foods Market) Columbus Circle,New York,32,03/13/2019,05/11/2019,Plant Closing,,,New York City,"New York,",Food Services/Delivery,Economic
New York,Instacart (at Whole Foods Market) (95 East Houston Street),New York,21,03/13/2019,05/11/2019,Plant Closing,,,New York City,"New York,",Food Services/Delivery,Economic
New York,Instacart (at Whole Foods Market) (4 Union Square),New York,21,03/13/2019,05/11/2019,Plant Closing,,,New York City,"New York,",Food Services/Delivery,Economic
New York,Instacart (at Whole Foods Market) (808 Columbus Avenue),New York,16,03/13/2019,05/11/2019,Plant Closing,,,New York City,"New York,",Food Services/Delivery,Economic
New York,Instacart (at Whole Foods Market) (1551 3rd Avenue),New York,20,03/13/2019,05/11/2019,Plant Closing,,,New York City,"New York,",Food Services/Delivery,Economic
New York,Instacart (at Whole Foods Market) (West 125th Street),New York,21,03/13/2019,05/11/2019,Plant Closing,,,New York City,"New York,",Food Services/Delivery,Economic
New York,Instacart (at Whole Foods Market) (E. 57th Street),New York,13,03/13/2019,05/11/2019,Plant Closing,,,New York City,"New York,",Food Services/Delivery,Economic
New York,Instacart (at Whole Foods Market) (7th Avenue),New York,21,03/13/2019,05/11/2019,Plant Closing,,,New York City,New York,Food Services/Delivery,Economic
New York,Instacart (at Whole Foods Market) (7th Avenue),Brooklyn,1,03/13/2019,05/11/2019,Plant Closing,,,New York City,Kings,Food Services/Delivery,Economic
Virginia,Amazon,Sterling,67,03/07/2018,05/06/2018,Layoff,Temporary,,Northern,,,
