State,Company,City,Number of Workers,WARN Received Date,Effective Date,Closure/Layoff,Temporary/Permanent,Union,Region,County,Industry,Notes
New York,Gate Gourmet (Astoria Airport kitchen - LGA Kitchen),Astoria,94,05/19/2020,03/31/2020,Plant Layoff,,,New York City,Queens,Catering Services,Unforeseeable business circumstances prompted by COVID- 19
New York,AFP 107 Corp. (Hilton Albany),Albany,70,05/19/2020,03/16/2020,Plant Layoff,,,Capital Region,Albany,Hotel,Unforeseeable business circumstances prompted by COVID- 19
New York,Jeffrey New York,New York,39,05/18/2020,06/01/2020,Plant Closing,,,New York City,New York,Clothing store,Unforeseeable business circumstances prompted by COVID- 19
New York,"The Langham, New York, Fifth Avenue",New York,163,05/18/2020,05/18/2020,Plant Layoff,,,New York City,New York,Contemporary luxury hotel,Unforeseeable business circumstances prompted by COVID- 19
New York,"Glossier, Inc.",New York,91,05/18/2020,06/01/2020,Temporary Plant Closing,,,New York City,New York,Creating the new beauty essentials: easy-to-use skincare and makeup,Unforeseeable business circumstances prompted by COVID- 19
New York,Frederick Hotel LLC,New York,41,05/18/2020,03/24/2020,Temporary Plant Closing,,,New York City,New York,Hotel,Unforeseeable business circumstances prompted by COVID- 19
New York,Triumph Hotel,New York,24,05/18/2020,03/24/2020,Temporary Plant Closing,,,New York City,New York,Hotel,Unforeseeable business circumstances prompted by COVID- 19
New York,The YMCA of Greater Rochester (multiple sites),Eagle Bay,,05/18/2020,03/15/2020,Temporary Plant Closing,,,Mohawk Valley Region,Herkimer,Social Organization,Unforeseeable business circumstances prompted by COVID- 19
New York,The YMCA of Greater Rochester,Corning,,05/18/2020,03/15/2020,Temporary Plant Closing,,,Southern Region,Steuben,Social Organization,Unforeseeable business circumstances prompted by COVID- 19
New York,The YMCA of Greater Rochester (multiple sites),Rochester,2090,05/18/2020,03/15/2020,Temporary Plant Closing,,,Finger Lakes Region,Monroe,Social Organization,Unforeseeable business circumstances prompted by COVID- 19
New York,"Tarrytown House Estate on the Hudson (Pyramid Tarrytown Management, LLC)",Tarrytown,91,05/18/2020,05/18/2020,Temporary Plant Closing/Plant Layoff,,,Mid-Hudson Region,Westchester,Hotel,Unforeseeable business circumstances prompted by COVID- 19
New York,Park Central New York,New York,227,05/18/2020,03/22/2020,Temporary Plant Layoff,,,New York City,New York,Hotel,Unforeseeable business circumstances prompted by COVID- 19
New York,WestHouse Hotel,New York,30,05/18/2020,03/22/2020,Temporary Plant Layoff,,,New York City,New York,Hotel,Unforeseeable business circumstances prompted by COVID- 19
New York,"Brooks Brothers Group, Inc. (Brooks Brothers, Long Island City Ties and Alterations Central Shop)",Sunnyside,136,05/15/2020,08/18/2020,Plant Closing,,,New York City,Queens,Tie factory,Unforeseeable business circumstances prompted by COVID- 19
New York,Good Shepherd Services (34 NYC sites),New York,296,05/15/2020,06/30/2020,Plant Layoff,,,New York City,New York/Bronx/Kings,Educational Institute,Unforeseeable business circumstances prompted by COVID- 19
New York,Centric Brands Inc.,New York,135,05/15/2020,05/15/2020,Plant Layoff,,,New York City,New York,"Brand collective that designs, sources, markets and sells high quality products in the kids, men's and women's apparel, accessories, beauty and entertainment
 segments.",Unforeseeable business circumstances prompted by COVID- 19
New York,"Feast American Diners, LLC dba Denny's",Watertown,33,05/14/2020,03/17/2020,Plant Closing,,,North Country Region,Jefferson,Restaurant,Unforeseeable business circumstances prompted by COVID- 19
New York,"Feast American Diners, LLC dba Denny's",Watertown,240,05/14/2020,03/17/2020,Plant Closing,,,Central Region,Onondaga,Restaurant,Unforeseeable business circumstances prompted by COVID- 19
New York,"Aero Instruments & Avionics, Inc.",North Tonawanda,41,05/14/2020,05/14/2020,Plant Layoff,,,Western Region,Niagara,"Avionics, Instrument & Electrical Accessory component repair.",Unforeseeable business circumstances prompted by COVID- 19
New York,"Quartz Media, Inc.",New York,52,05/14/2020,05/28/2020,Plant Layoff,,,New York City,New York,An online news website,Economic
New York,Hilton Times Square Hotel,New York,152,05/14/2020,03/16/2020,Temporary Plant Layoff,,,New York City,New York,Hotel,Unforeseeable business circumstances prompted by COVID- 19
New York,"Marriott Hotel Services, Inc. dba Times Square EDITION",New York,210,05/13/2020,08/13/2020,Plant Closing,,,New York City,New York,Hotel,Unforeseeable business circumstances prompted by COVID- 19
New York,Union for Reform Judaism,New York,24,05/13/2020,06/30/2020,Plant Layoff,,,New York City,New York,Religious Organization,Unforeseeable business circumstances prompted by COVID- 19
New York,The Redbury New York,New York,91,05/13/2020,05/18/2020,Temporary Plant Closing,,,New York City,New York,Hotel,Unforeseeable business circumstances prompted by COVID- 19
New York,Graham School,Hastings-on- Hudson,122,05/12/2020,05/26/2020,Plant Closing,,,Mid-Hudson Region,Westchester,School,Economic
New York,"Crescent Hotels & Resorts, LLC (at Hyatt Centric 39th and 5th)",New York,8,05/12/2020,03/23/2020,Temporary Plant Closing,,,New York City,New York,Hotel,Unforeseeable business circumstances prompted by COVID- 19
New York,"MGM Resorts Satellite, LLC",Flushing,1,05/12/2020,03/02/2020,Temporary Plant Closing,,,New York City,Queens,Hotel and Events,Unforeseeable business circumstances prompted by COVID- 19
New York,"Crest Logistics, LLC",Rotterdam,171,05/11/2020,05/15/2020,Plant Closing,,,Capital Region,Schenectady,Provides Warehouse and Transportation Management of refrigerated produce,Unforeseeable business circumstances prompted by COVID- 19
New York,"Carey Limousine N.Y., Inc.",Astoria,35,05/11/2020,05/15/2020,Plant Layoff,,,New York City,New York,Luxury transportation,Unforeseeable business circumstances prompted by COVID- 19
New York,Westgate New York City,New York,103,05/11/2020,05/15/2020,Temporary Plant Closing,,,New York City,New York,Hotel/Resort,Unforeseeable business circumstances prompted by COVID- 19
New York,SRNY Associates LLC dba Shoreham Hotel (NYC),New York,62,05/11/2020,03/16/2020,Temporary Plant Layoff,,,New York City,New York,Hotel,Unforeseeable business circumstances prompted by COVID- 19
New York,Dnata (JFK International Airport),Queens,301,05/09/2020,05/22/2020,Plant Layoff,,,New York City,Queens,Airport ground handling services,Unforeseeable business circumstances prompted by COVID-19
New York,"Feast American Diners, LLC dba Denny's",Horseheads,64,05/08/2020,03/17/2020,Plant Closing,,,Southern Region,Chemung,Restaurant,Unforeseeable business circumstances prompted by COVID- 19
New York,Cameron Manufacturing & Design,Horseheads,73,05/08/2020,05/18/2020,Plant Layoff,,,Southern Region,Chemung,"Fabrications and Weldments, Equipment and Machinery, Design and Drafting Services, Engineering Design",Unforeseeable business circumstances prompted by COVID- 19
New York,Sankara NY LLC dba Castle Hotel and Spa,Tarrytown,84,05/08/2020,03/17/2020,Temporary Plant Closing,,,Mid-Hudson Region,Westchester,Hotel & Spa,Unforeseeable business circumstances prompted by COVID- 19
New York,The University Club of New York,New York,243,05/08/2020,04/12/2020,Temporary Plant Closing,,,New York City,New York,Fitness & Recreation Sports Center,Unforeseeable business circumstances prompted by COVID- 19
New York,"Uber Technologies, Inc. (JUMP venture aka Social Bicycles, LLC)",Brooklyn,37,05/07/2020,06/08/2020,Plant Closing,,,New York City,New York,On-demand electric bikes & scooters.,Unforeseeable business circumstances prompted by COVID- 19
New York,"Uber Technologies, Inc.",Long Island City,26,05/07/2020,06/05/2020,Plant Layoff,,,New York City,Queens,On demand car service,Unforeseeable business circumstances prompted by COVID- 19
New York,"Kickstarter, PBC",Brooklyn,25,05/07/2020,05/15/2020,Plant Layoff,,,New York City,New York,Operates as an internet website that provides tools to raise funds for various community projects through crowd funding resources.,Unforeseeable business circumstances prompted by COVID- 19
New York,"quantPORT Division of Jeffries Investment Advisers, LLC (NYC)",New York,82,05/07/2020,05/31/2020,Plant Layoff,,,New York City,New York,Investment advisors,Restructuring
New York,Crowne Plaza Times Square Hotel,New York,396,05/07/2020,03/20/2020,Temporary Plant Closing,,,New York City,New York,Hotel,Unforeseeable business circumstances prompted by COVID- 19
New York,Family YMCA of the Glens Falls Area,Glens Falls,200,05/07/2020,03/16/2020,Temporary Plant Closing,,,Capital Region,Warren,"leading voice on youth development, health, and well- being.",Unforeseeable business circumstances prompted by COVID- 19
New York,Airbnb (2 New York City Sites),New York,52,05/06/2020,08/04/2020,Plant Layoff,,,New York City,New York,"Online marketplace for arranging or offering lodging, primarily homestays, or tourism experiences.",Unforeseeable business circumstances prompted by COVID- 19
