State,Company,City,Number of Workers,WARN Received Date,Effective Date,Closure/Layoff,Temporary/Permanent,Union,Region,County,Industry,Notes
Texas,Furr's Fresh Buffet-McAllen,McAllen,71,03/31/2021,06/04/2021,,,,Lower Rio Grande Valley WDA,Hidalgo,,
Texas,"CSG Systems, Inc.",Austin,57,03/29/2021,06/30/2021,,,,Capital Area WDA,Travis,,
Texas,Hilton-Austin,Austin,64,03/26/2021,02/18/2021,,,,Capital Area WDA,Travis,,
Texas,Ovintive USA Inc.,Karnes City,95,03/25/2021,07/31/2021,,,,Alamo WDA,Karnes,,
Texas,Renaissance Dallas Addison Hotel,Addison,134,03/22/2021,03/16/2020,,,,Dallas County WDA,Dallas,,
Texas,Dallas Marriott Las Colinas,Irving,59,03/22/2021,03/16/2020,,,,Dallas County WDA,Dallas,,
Texas,Renaisance Dallas Addison Hotel - Ft. Worth,Ft. Worth,53,03/22/2021,03/16/2020,,,,Tarrant County WDA,Tarrant,,
Texas,"Thyssenkrupp Supply Chain Services, Inc.",Houston,30,03/18/2021,07/31/2021,,,,Gulf Coast WDA,Harris,,
Texas,"Wonderful Citrus Packing, LLC",Mission,141,03/12/2021,03/04/2021,,,,Lower Rio Grande Valley WDA,Hidalgo,,
Texas,Hilton Anatole,Dallas,206,03/11/2021,04/10/2021,,,,Dallas County WDA,Dallas,,
Texas,Walmart #5931,Dallas,217,03/09/2021,03/30/2021,,,,Dallas County WDA,Dallas,,
Texas,American Airlines-HDQ2,Ft. Worth,41,03/09/2021,04/01/2021,,,,Tarrant County WDA,Tarrant,,
Texas,American Airlines-DFW,DFW Airport,"2,475",03/08/2021,04/01/2020,,,,Tarrant County WDA,Tarrant,,
Texas,American Airlines-DFW Hangar,DFW Airport,50,03/08/2021,04/01/2021,,,,Tarrant County WDA,Tarrant,,
Texas,American Airlines-DFW Admin Bldg,DFW Airport,16,03/08/2021,04/01/2020,,,,Tarrant County WDA,Tarrant,,
Texas,American Airlines-HDQ,Ft. Worth,229,03/08/2021,04/01/2020,,,,Tarrant County WDA,Tarrant,,
Texas,American Airlines - Ft Worth,Fort Worth,9,03/08/2021,04/02/2021,,,,Tarrant County WDA,Tarrant,,
Texas,American Airlines-Flight Training,Ft. Worth,103,03/08/2021,04/01/2021,,,,Tarrant County WDA,Tarrant,,
Texas,American Airlines-Delta Hanger,DFW Airport,38,03/08/2021,04/01/2020,,,,Dallas County WDA,Dallas,,
Texas,American Airlines-SRO,Ft. Worth,2,03/08/2021,04/01/2021,,,,Tarrant County WDA,Tarrant,,
Texas,InterContinental-Stephen F Austin,Austin,35,03/05/2021,11/30/2020,,,,Capital Area WDA,Travis,,
Texas,West Texas Medical Associates,San Angelo,114,03/05/2021,04/03/2021,,,,Concho Valley WDA,Tom Green,,
Texas,Seadrill Americas-West Neptune,Houston,162,03/05/2021,03/01/2021,,,,Gulf Coast WDA,Harris,,
Texas,Columbia Commercial Building Products,Rockwall,59,03/05/2021,04/02/2021,,,,North Central Texas WDA,Rockwall,,
Texas,Baylor Scott & White Health-Elm St,Dallas,46,03/05/2021,03/03/2021,,,,Dallas County WDA,Dallas,,
Texas,Baylor Scott & White Health-Main St,Dallas,25,03/05/2021,03/03/2021,,,,Dallas County WDA,Dallas,,
Texas,Baylor Scott & White Health-Round Rock,Round Rock,83,03/05/2021,03/03/2021,,,,Rural Capital WDA,Williamson,,
Texas,Baylor Scott & White Health-Austin,Austin,62,03/05/2021,03/03/2021,,,,Capital Area WDA,Travis,,
Texas,Coca Cola North America,Grand Prairie,76,03/04/2021,04/15/2021,,,,Dallas County WDA,Dallas,,
Texas,"Relyant Global, LLC",San Juan,70,03/02/2021,05/07/2021,,,,Cameron County WDA,Hidalgo,,
Texas,CBRE,Dallas,193,02/11/2021,04/30/2021,,,,Dallas County WDA,Dallas,,
Texas,CACI-ISS,San Antonio,73,02/02/2021,02/28/2021,,,,Alamo WDA,Bexar,,
Texas,"Trinity Rail Maintenance Services, Inc.",Vidor,59,01/28/2021,04/30/2021,,,,South East Texas WDA,Orange,,
Texas,Lucite International,Nederland,99,01/28/2021,05/01/2021,,,,South East Texas WDA,Jefferson,,
Texas,"Trinity Rail Maintenance Services, Inc.",Vidor,59,01/28/2021,04/30/2021,,,,South East Texas WDA,Orange,,
Texas,CACI-ISS,San Antonio,73,01/28/2021,02/28/2021,,,,Alamo WDA,Bexar,,
Texas,ADS Alliance Data Systems,San Antonio,50,01/27/2021,04/01/2021,,,,Alamo WDA,Bexar,,
Texas,Lucite International,Nederland,99,01/25/2021,05/01/2021,,,,South East Texas WDA,Jefferson,,
Texas,Gibraltar US,San Benito,96,01/22/2021,03/22/2021,,,,Cameron County WDA,Cameron,,
Texas,Johnson Controls-Ruskin Rooftop Systems,Carrollton,151,01/22/2021,03/31/2021,,,,Dallas County WDA,Dallas,,
Texas,"VT Industries, Inc.",Universal City,104,01/22/2021,03/12/2021,,,,Alamo WDA,Bexar,,
Texas,Transform SR LLC-San Antonio,San Antonio,67,01/22/2021,03/07/2021,,,,Alamo WDA,Bexar,,
Texas,Gibraltar US,San Benito,96,01/21/2021,03/22/2021,,,,Cameron County WDA,Cameron,,
Texas,Alliance Data Card Services,San Antonio,50,01/15/2021,04/01/2021,,,,Alamo WDA,Bexar,,
Texas,Johnson Controls-Ruskin Rooftop Systems,Carrollton,151,01/14/2021,03/31/2021,,,,Dallas County WDA,Dallas,,
Texas,Alliance Data Card Services,San Antonio,50,01/14/2021,04/01/2021,,,,Alamo WDA,Bexar,,
Texas,"Par-Pak, Inc.",Houston,1,01/08/2021,03/25/2021,,,,Gulf Coast WDA,Harris,,
Texas,Albertsons #3064,Bellaire,67,01/08/2021,02/20/2021,,,,Gulf Coast WDA,Harris,,
Texas,"Par-Pak, Inc.",Houston,1,01/08/2021,03/25/2021,,,,Gulf Coast WDA,Harris,,
Texas,Albertsons #3064,Bellaire,67,01/08/2021,02/20/2021,,,,Gulf Coast WDA,Harris,,
Texas,DHL - Baytown,Baytown,97,01/06/2021,03/15/2021,,,,Gulf Coast WDA,Harris,,
Texas,DHL - Baytown,Baytown,97,01/05/2021,03/15/2021,,,,Gulf Coast WDA,Harris,,
Texas,IBEX,New Braunfels,248,12/22/2020,02/16/2021,,,,Alamo WDA,Comal,,
Texas,BoomerangTube LLC - FM 3361,Liberty,150,12/22/2020,12/23/2020,,,,Gulf Coast WDA,Liberty,,
Texas,ACCC Insurance Company,Houston,122,12/21/2020,12/30/2020,,,,Gulf Coast WDA,Harris,,
Texas,"Halliburton Energy Services, Inc. - Carrollton",Carrollton,216,12/15/2020,12/15/2020,,,,Dallas County WDA,Dallas,,
Texas,"Parsley Energy, Inc. - Midland",Midland,100,12/15/2020,02/15/2021,,,,Permian Basin WDA,Midland,,
Texas,EVO Transportation,Austin,104,12/15/2020,01/09/2021,,,,Capital Area WDA,Travis,,
Texas,Hyatt Regency DFW,DFW Airport,111,12/14/2020,12/04/2020,,,,Tarrant County WDA,Tarrant,,
Texas,Manitou Equipment America,Waco,149,12/14/2020,02/26/2021,,,,Heart of Texas WDA,McLennan,,
Texas,"Laz Parking Texas, LLC",Dallas,135,12/14/2020,11/23/2020,,,,Dallas County WDA,Dallas,,
Texas,"Patrician Window Coverings, Inc.",Webster,95,12/10/2020,02/12/2021,,,,Gulf Coast WDA,Harris,,
Texas,Morrison Healthcare - University of Texas Medical Branch,Galveston,149,12/08/2020,12/23/2020,,,,Gulf Coast WDA,Galveston,,
Texas,Angleton Danbury Hospital,Angleton,12,12/08/2020,12/23/2020,,,,Gulf Coast WDA,Brazoria,,
Texas,League City Campus Hospital,League City,15,12/08/2020,12/23/2020,,,,Gulf Coast WDA,Galveston,,
Texas,Clear Lake Campus Hospital,Webster,27,12/08/2020,12/23/2020,,,,Gulf Coast WDA,Harris,,
Texas,LEH-S Presa St,San Antonio,33,12/08/2020,02/03/2021,,,,Alamo WDA,Bexar,,
Texas,LEH -BDA Crossing,San Antonio,50,12/08/2020,02/03/2021,,,,Alamo WDA,Bexar,,
Texas,LEH-Elmendorf,Elmendorf,5,12/08/2020,02/03/2021,,,,Alamo WDA,Bexar,,
Texas,LEH-Falls City,Falls City,4,12/08/2020,02/03/2021,,,,Alamo WDA,Karnes,,
Texas,Allied Universal Security Services,Arlington,88,12/08/2020,01/31/2021,,,,Tarrant County WDA,Tarrant,,
Texas,Tom Thumb #2574,Ft. Worth,11,12/08/2020,02/27/2021,,,,Tarrant County WDA,Tarrant,,
Texas,Tom Thumb #2642,Dallas,17,12/08/2020,02/27/2021,,,,Dallas County WDA,Dallas,,
Texas,Tom Thumb #1788,Plano,17,12/08/2020,02/27/2021,,,,North Central Texas WDA,Collin,,
Texas,Tom Thumb #1786,Grand Prairie,16,12/08/2020,02/27/2021,,,,Dallas County WDA,Dallas,,
Texas,Tom Thumb #2578,Garland,10,12/08/2020,02/27/2021,,,,Dallas County WDA,Dallas,,
Texas,Tom Thumb #3658,Arlington,16,12/08/2020,02/27/2021,,,,Tarrant County WDA,Tarrant,,
Texas,Tom Thumb #1781,Coppell,10,12/08/2020,02/27/2021,,,,Dallas County WDA,Dallas,,
Texas,"Parsley Energy, Inc.-Congress Ave",Austin,85,12/07/2020,02/08/2021,,,,Capital Area WDA,Travis,,
Texas,"Parsley Energy, Inc.-ABA",Austin,2,12/07/2020,02/08/2021,,,,Capital Area WDA,Travis,,
Texas,"Parsley Energy, Inc.-Colorado St.",Austin,147,12/07/2020,02/08/2021,,,,Capital Area WDA,Travis,,
Texas,Francesca's Holdings Corp - Clay Rd.,Houston,223,12/04/2020,01/13/2021,,,,Gulf Coast WDA,Harris,,
Texas,"Sable Permian Resourcces Operating, LLC - Big Lake",Big Lake,81,12/04/2020,02/02/2021,,,,Concho Valley WDA,Reagan,,
Texas,"Sable Permian Resources Operating, LLC",Houston,100,12/04/2020,02/02/2021,,,,Gulf Coast WDA,Harris,,
Texas,Southwest - Customer Service & Support,San Antonio,106,12/03/2020,03/15/2021,,,,Alamo WDA,Bexar,,
Texas,Southwest - San Antonio Int'l Airport,San Antonio,36,12/03/2020,03/05/2021,,,,Alamo WDA,Bexar,,
Texas,Southwest - Customer Service and Support,Houston,79,12/03/2020,03/15/2021,,,,Gulf Coast WDA,Harris,,
Texas,Southwest-Dallas Love Field,Dallas,465,12/03/2020,03/15/2021,,,,Dallas County WDA,Dallas,,
Texas,Southwest-ABA,Austin,77,12/03/2020,03/15/2021,,,,Capital Area WDA,Travis,,
Texas,Southwest-Dallas,Dallas,10,12/03/2020,04/01/2021,,,,Dallas County WDA,Dallas,,
Texas,Southwest - William P. Hobby,Houston,54,12/03/2020,03/15/2021,,,,Gulf Coast WDA,Harris,,
Texas,Exxon Mobil Campus,Spring,677,12/02/2020,02/02/2021,,,,Gulf Coast WDA,Harris,,
Texas,ExxonMobil Hughes Landing - 1735,The Woodlands,35,12/02/2020,02/02/2021,,,,Gulf Coast WDA,Montgomery,,
Texas,ExxonMobil Hughes Landing - 1725,The Woodlands,10,12/02/2020,02/02/2021,,,,Gulf Coast WDA,Montgomery,,
Texas,Stork (A FLUOR Company),Dayton,18,11/30/2020,01/29/2021,,,,Gulf Coast WDA,Liberty,,
